text,score,label
"aplikasinya memang bermasalah bagaimana lama sekali loadingnya segera perbaiki",0.44292782148977,2
"golek oce",0.135,2
"sangat membantu dibutuhkan kalau dilihat tarif minim drivernya potongan perusahaan buat servis kendaraannya semangat yaa buat pencari rupiah",0.77591909231698,2
"aplikasi gak jelas",0.11409655769654,2
"kalo pas mesen gocar sering banget pembatalan pihak driver nya udah jalan nunggu berapa menit eh gataunya malah dibatalin sering banget mungkin mentang mentang murah kali jangan gitu lah banyak yg gamau ambil orderan harga nya murah sangat kecewa yg penting kan bayar ngutang perbaiki sistem nya biar ga bikin pelanggan kecewa lalu pindah aplikasi",0.11417015377309,2
"sangat membantu",0.23093734373929,2
"insiden ga sengaja klik pesan langsung cancel ga konfirmasi resto driver responnya ga bagus call center jawabannya sama biar ga terulang unsinstal aplikasi harusnya dilihat penggunanya baru tahunan riwayat penggunanya apa suka cancel orderan enggak gojek bertahun tahun perihal kaya gini aja becus",0.28384386750494,2
"lama gak diandalkan butuh cepat gara topup saldo masuk nunggu hari sering banget kendala sistemnya lama penanganannya keseringan topup saldo berubah",0.35236139094326,2
"aplikasi berguna",0.28359826635102,2
"driver go car sekarang milih milih ambil orderan kan promo emg aplikasinya lama bgt buat diterima orderan padahal mobil diarea tersebut aplikasi buanyaaaak tp gak yg nerima sekalinya diterima ditolak terus sama driver go car klo diterima dilama lamain alias gak jalan jalan tuh mobil ditindaklanjuti diberi briefing terimakasih",0.40640209584795,2
"diberi upgrade aplikasi driver sangat merugikan customer pedan goride driver main cancle sesuka hati bukan satu driver lebih driver satu waktu hingga mengakibatkan keterlambatan lebih menit mendapatkan driver",0.15562066749791,2
"pesanan g sesuai kl mang abis harusnya diaplikasi aplikasi habis dah dipesan baru chat dikasih spec yg g sesuai spec bayar harga sesuai yg habis semakin lama gojek semakin buruk pelayanannya seleksi dong kl mau krjasama merchant jng asal pemasukan tp mengecewakan konsumen",0.19782133369348,2
"aplikasi error pesan gofood berapa jam driver maksudnya gimana aplikasi semakin jelas diperbaiki kedepannya",0.12805403095705,2
"makin lama makin songong kalo gak minat nyari duit wes gak minat narik penumpang ngapain dinyalain mending lu gulung tikar aja dah gitu gak baca map apa map penumpang driver beda penampakan udah jelas sesuai titik selalu aja melenceng dikasih keterangan gak pernah dibaca",0.12253829090074,2
"sangat membantu",0.23093734373929,2
"apk gojek luar biasa",0.10010212475543,2
"jangan tertipu harga murah trik marketing kotornya gojek ketentuan sistemnya jadul sesuai regulasi perlindungan konsumen indonesia kali order taksi bandara driver minta rubah tujuan tujuannya sama bandara rute beda harga naik rb lebih mahal rb tarif grab alasan driver sistem gojek kasih rute yg lama drive harga resto beda jauh aslinya beda ribu kejadian malam pusat bantuan ga seinteraktif grab",0.17920896865161,2
"golek oce",0.135,2
"lama gak diandalkan butuh cepat gara topup saldo masuk nunggu hari sering banget kendala sistemnya lama penanganannya keseringan topup saldo berubah",0.35236139094326,2
"saran aktifkan pembatalan pemesanan gofood dimanapun sesuai pengalaman hari keponakan sengaja membuat pesanan gofood yg diinginkan akun sy sy ingn mlakukan pembatalan tombol mencob pusat bantuan dpt solusi akhirnya chat driver berhasil melakukan pembatalan katanya ternyata malah berganti driver sepengetahuan hingga terpaksa berakhir ganti rugi mendapatkan apa",0.42308469820273,2
"sering lag",0.91401336941809,2
vanget,1.51,2
"membantu banget transportasi ekspedisi",1.7396881875236,2
"nyatakan pinjaman sepeserpun gopay pinjaman padahal melunasi tagihan bulan depan pernah telat dana tersedia kembalitdk dipakai ditarik menunggu bulan depan blm jd yg afa tagihan pengalaman sy sekarang bayar sesuai bulan berjalan nya jangan tergiur pinjaman lbh tinggi melunasi lebih awal terimakasih pernah membersamai",0.64254366774822,2
terimakasih,0.75791825916245,2
"pesan gofood min gak driver pesanan batalkan gak pernah pesan makan selama applikasi tolol",0.52210051327244,2
"sangat baik ramah terimakasih",0.11605111014517,2
"makin kesini aplikasinya makin gajelas susah diandalkan mau order makanan susah bgttt diklik berkali kali ga masuk pdhal udh refresh udh tutup buka aplikasi berkali sama aja tetep susah ngeklik makanan yg mau dipesan pdhal jaringan internetnya lancar koq",0.16499994732445,2
"aplikasi semakin berat hp ram kecil kasihan konsumen memiliki hp android biasa coolpad setia memakai jasa gojek lebih nyaman hp tak mampu loading disebabkan versi semakin berat mb nya semakin tinggi termasuk apk mitra driver perubahan versi selalu terkendala hank lag error ribet tks",0.46691516113903,2
"saran aktifkan pembatalan pemesanan gofood dimanapun sesuai pengalaman hari keponakan sengaja membuat pesanan gofood yg diinginkan akun sy sy ingn mlakukan pembatalan tombol mencob pusat bantuan dpt solusi akhirnya chat driver berhasil melakukan pembatalan katanya ternyata malah berganti driver sepengetahuan hingga terpaksa berakhir ganti rugi mendapatkan apa",0.42308469820273,2
"penguuna gojek sdh lbh thn sangat kecewa order gofood biaya drever rb ternyata yg terima drever cuma terlalu sadis klo potongan nya sampe detik delete apk castemer sekarang grab yg lbh manusiawi by",0.25654616632017,2
